ID,playerid,name,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice,av_1,av_2,av_3,av_4,av_5,av_6,Shothardness,tappedtheball,ImportantnessGame,Importantnessgamegrouped,specialMatch,lastGKdive,CluborNationalTeam,competition,Minute,secondlastpenalty,secondlastGKdive,JColourPlayer,JColourGK,foot_cat,mvmtGK_cat,standposGK_cat,ingameshoot_cat,compleague_cat,decider_cat,lastpenaltygoal_cat,lastpenaldir_cat,roundnogroup_cat,heightGK_cat,posdef_cat,GKmvmttyp_cat,opplstpengoal_cat,shothardness_cat,tappedball_cat,gameimportance_cat,specialmatch_cat,lastGKdive_cat,clubornational_cat,compCup_cat,compECC_cat,compNational_cat,compQuali_cat,jerseygreyGK_cat,jerseyredGK_cat,jerseyblackGK_cat,jerseyblueGK_cat,jerseygreenGK_cat,jerseyyellowGK_cat,jerseyorangeGK_cat,jerseygoldPL_cat,jerseyblackPL_cat,jerseywhitePL_cat,jerseypinkPL_cat,jerseypurplePL_cat,jerseyredPL_cat,jerseygreenPL_cat,secondlastGKdivedir_cat,secondlastpen_cat,Great_GK,GK_already_saved_one
43,6,Agüero,R,jumping left and right,central,Ingame,UCL-Quali,184,no,Goal,4,4,4,null,ST,moving,0.061001799,0.107575758,0.03115312,0.159040073,0.228548354,0.173968701,4,1,1,1,1,1,1,normal,yes,3,normal,no,Left,Club,UCL-Quali,8,Goal,Left,Black,Green,1,4,2,0,0,0,2,4,0,3,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,no,no
44,6,Agüero,R,jumping on spot,central,Ingame,UCL-Quali,184,no,Saved,7,4,4,null,ST,moving,0.061001799,0.107575758,0.03115312,0.159040073,0.228548354,0.173968701,2,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,UCL-Quali,21,Goal,Left,Black,Green,1,2,2,0,0,0,1,4,0,3,0,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,no,yes
45,6,Agüero,R,jumping on spot,central,Ingame,League,185,no,Missed,2,2,null,null,ST,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,27,Saved,Left,Red,Blue,1,2,2,0,1,0,1,2,0,4,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,no,no
46,6,Agüero,R,no,central,Ingame,UCL,183,no,Goal,1,1,Group,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,UCL,28,Missed,Left,Blue,Grey,1,0,2,0,0,0,2,1,1,2,0,2,0,2,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,no,no
47,6,Agüero,R,rechts geneigt,central,Ingame,League,190,no,Goal,9,6,null,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,2,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,65,Goal,Right,Red,Blue,1,3,2,0,1,0,2,6,0,9,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,no,no
48,6,Agüero,R,no,central,Ingame,League,197,no,Goal,2,2,null,null,ST,still,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,6,1,1,1,1,1,1,normal,yes,3,normal,no,Right,Club,League,70,Goal,Left,Blue,Green,1,0,2,0,1,0,2,2,0,16,0,2,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,no,no
49,6,Agüero,R,no,central,Ingame,Cup,198,no,Saved,6,6,last sixteen,null,ST,still,0.070053523,0.112878788,0.035775761,0.182639162,0.262461397,0.199782967,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,Cup,35,Goal,Right,Blue,Pink,1,0,2,0,0,0,1,6,0,16,0,2,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,no,no
50,6,Agüero,R,no,central,Ingame,League,193,no,Goal,1,1,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,69,Saved,Right,Red,Green,1,0,2,0,1,0,2,1,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,no,no
51,6,Agüero,R,links geneigt,central,Ingame,UCL,190,no,Goal,4,1,Group,null,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4,1,1,1,1,1,1,normal,yes,3,normal,no,Right,Club,UCL,72,Goal,Right,Blue,Black,1,1,2,0,0,0,2,1,1,9,0,1,0,2,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,no,no
52,6,Agüero,R,no,slightly right,Ingame,League,198,no,Saved,4,4,null,null,ST,still,0.070053523,0.112878788,0.035775761,0.182639162,0.262461397,0.199782967,6,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,League,30,Goal,Right,Blue,Orange,1,0,3,0,1,0,1,4,0,16,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,no,no
