ID,playerid,name,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice
131,50,Behrens,R,no,central,Shootout,Cup,190,no,Goal,9,6,2,Goal,MF,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,1
132,50,Behrens,R,jumping on spot,central,Ingame,League,191,no,Goal,4,1,null,null,MF,moving,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,3
133,50,Behrens,R,no,central,Ingame,League,193,no,Missed,3,3,null,null,MF,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,4
134,51,Belfodil,R,no,central,Shootout,Cup,195,no,null,null,null,1,Saved,ST,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,4
135,51,Belfodil,R,no,central,Ingame,EL,187,no,Goal,4,4,Group,null,ST,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4
136,52,Belotti,R,no,central,Ingame,League,188,no,null,null,null,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,5
137,52,Belotti,R,jumping left and right,central,Shootout,EM,190,no,null,null,null,Semi-Final,Missed,ST,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4
138,52,Belotti,R,jumping left and right,central,Shootout,EM,185,no,Goal,7,4,Final,Goal,ST,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,6
139,53,Bensebaini,L,jumping left and right,central,Shootout,Cup,195,no,null,null,null,Final,Goal,DF,moving,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,6
140,53,Bensebaini,L,jumping on spot,central,Ingame,League,193,yes,Goal,9,6,null,null,DF,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
141,53,Bensebaini,L,jumping on spot,central,Ingame,League,189,no,Goal,9,6,null,null,DF,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,4
142,53,Bensebaini,L,no,central,Ingame,UCL,193,no,Goal,7,4,Group,null,DF,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
143,53,Bensebaini,L,links geneigt,central,Ingame,League,185,no,Goal,9,6,null,null,DF,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,6
144,54,Bentaleb,L,no,central,Ingame,League,183,no,null,null,null,null,null,MF,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,4
145,54,Bentaleb,L,no,central,Ingame,EL,183,no,Goal,4,4,last sixteen,null,MF,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,4
146,54,Bentaleb,L,no,central,Ingame,League,191,no,Goal,4,4,null,null,MF,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,2
147,54,Bentaleb,L,jumping on spot,central,Ingame,League,188,no,Goal,2,2,null,null,MF,moving,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4
148,54,Bentaleb,L,jumping on spot,central,Ingame,League,197,no,Goal,7,4,null,null,MF,moving,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,5
149,54,Bentaleb,L,no,central,Ingame,League,190,no,Goal,8,5,null,null,MF,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,6
150,54,Bentaleb,L,no,central,Ingame,Cup,186,no,Goal,9,6,1,null,MF,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,4
151,54,Bentaleb,L,jumping on spot,central,Ingame,League,197,no,Goal,4,4,null,null,MF,moving,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,5
152,54,Bentaleb,L,jumping on spot,central,Ingame,Cup,192,yes,Goal,8,5,2,null,MF,moving,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,1
153,54,Bentaleb,L,jumping on spot,central,Shootout,Cup,192,yes,Goal,4,1,2,Goal,MF,moving,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,5
154,54,Bentaleb,L,no,central,Ingame,League,196,no,Saved,8,5,null,null,MF,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,6
155,54,Bentaleb,L,no,central,Ingame,UCL,182,no,Goal,9,6,Group,null,MF,still,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,4
156,54,Bentaleb,L,jumping on spot,central,Ingame,League,187,no,Goal,7,4,null,null,MF,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,6
